file,class,method,variable,usage
C:\remote-desktop-clients-master\bVNC\src\main\java\com\iiordanov\android\bc\IBCHaptic.java,com.iiordanov.android.bc.IBCHaptic,performLongPressHaptic/1[com.iiordanov.android.bc.View],v,0
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\input\RdpKeyboardMapper.java,com.undatech.opaque.input.RdpKeyboardMapper$KeyProcessingListener,"processUnicodeKey/3[int,boolean,boolean]",suppressMetaState,0
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\input\RdpKeyboardMapper.java,com.undatech.opaque.input.RdpKeyboardMapper$KeyProcessingListener,"processUnicodeKey/3[int,boolean,boolean]",unicodeKey,0
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\input\RdpKeyboardMapper.java,com.undatech.opaque.input.RdpKeyboardMapper$KeyProcessingListener,"processUnicodeKey/3[int,boolean,boolean]",down,0
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\input\RdpKeyboardMapper.java,com.undatech.opaque.input.RdpKeyboardMapper$KeyProcessingListener,switchKeyboard/1[int],keyboardType,0
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\input\RdpKeyboardMapper.java,com.undatech.opaque.input.RdpKeyboardMapper$KeyProcessingListener,"processVirtualKey/2[int,boolean]",virtualKeyCode,0
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\input\RdpKeyboardMapper.java,com.undatech.opaque.input.RdpKeyboardMapper$KeyProcessingListener,"processVirtualKey/2[int,boolean]",down,0
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,requestUpdate/1[boolean],incremental,0
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,"writeKeyEvent/3[int,int,boolean]",metaState,0
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,"writeKeyEvent/3[int,int,boolean]",down,0
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,"writeKeyEvent/3[int,int,boolean]",key,0
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,"requestResolution/2[int,int]",x,0
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,"requestResolution/2[int,int]",y,0
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,setCertificateAccepted/1[boolean],certificateAccepted,0
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,"RfbConnectable/2[boolean,com.undatech.opaque.Handler]",handler,2
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,"RfbConnectable/2[boolean,com.undatech.opaque.Handler]",debugLogging,3
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,setIsInNormalProtocol/1[boolean],state,0
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,"writeSetPixelFormat/11[int,int,boolean,boolean,int,int,int,int,int,int,boolean]",bigEndian,0
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,"writeSetPixelFormat/11[int,int,boolean,boolean,int,int,int,int,int,int,boolean]",depth,0
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,"writeSetPixelFormat/11[int,int,boolean,boolean,int,int,int,int,int,int,boolean]",redShift,0
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,"writeSetPixelFormat/11[int,int,boolean,boolean,int,int,int,int,int,int,boolean]",redMax,0
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,"writeSetPixelFormat/11[int,int,boolean,boolean,int,int,int,int,int,int,boolean]",greenShift,0
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,"writeSetPixelFormat/11[int,int,boolean,boolean,int,int,int,int,int,int,boolean]",fGreyScale,0
