file,class,method,variable,usage
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,"writeKeyEvent/3[int,int,boolean]",metaState,1
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,"RfbConnectable/2[boolean,com.undatech.opaque.Handler]",handler,3
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,"RfbConnectable/2[boolean,com.undatech.opaque.Handler]",debugLogging,4
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,"RfbConnectable/2[boolean,com.undatech.opaque.Handler]",remoteKeyboardState,1
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,"writePointerEvent/5[int,int,int,int,boolean]",metaState,1
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,remoteClipboardChanged/1[java.lang.String],handler,2
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,remoteClipboardChanged/1[java.lang.String],TAG,1
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,setHandler/1[com.undatech.opaque.Handler],handler,3
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,getHandler/0,handler,1
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\net\sourceforge\jsocks\UDPRelayServer.java,net.sourceforge.jsocks.UDPRelayServer,"pipe/3[java.net.DatagramSocket,java.net.DatagramSocket,boolean]",auth,1
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\net\sourceforge\jsocks\UDPRelayServer.java,net.sourceforge.jsocks.UDPRelayServer,"pipe/3[java.net.DatagramSocket,java.net.DatagramSocket,boolean]",log,1
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\net\sourceforge\jsocks\UDPRelayServer.java,net.sourceforge.jsocks.UDPRelayServer,"pipe/3[java.net.DatagramSocket,java.net.DatagramSocket,boolean]",lastReadTime,2
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\net\sourceforge\jsocks\UDPRelayServer.java,net.sourceforge.jsocks.UDPRelayServer,"pipe/3[java.net.DatagramSocket,java.net.DatagramSocket,boolean]",datagramSize,1
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\net\sourceforge\jsocks\UDPRelayServer.java,net.sourceforge.jsocks.UDPRelayServer,"pipe/3[java.net.DatagramSocket,java.net.DatagramSocket,boolean]",iddleTimeout,2
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\net\sourceforge\jsocks\UDPRelayServer.java,net.sourceforge.jsocks.UDPRelayServer,getRelayIP/0,relayIP,1
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\net\sourceforge\jsocks\UDPRelayServer.java,net.sourceforge.jsocks.UDPRelayServer,run/0,log,1
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\net\sourceforge\jsocks\UDPRelayServer.java,net.sourceforge.jsocks.UDPRelayServer,run/0,client_sock,2
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\net\sourceforge\jsocks\UDPRelayServer.java,net.sourceforge.jsocks.UDPRelayServer,run/0,remote_sock,2
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\net\sourceforge\jsocks\UDPRelayServer.java,net.sourceforge.jsocks.UDPRelayServer,log/1[java.lang.String],log,4
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\net\sourceforge\jsocks\UDPRelayServer.java,net.sourceforge.jsocks.UDPRelayServer,stop/0,controlConnection,1
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\net\sourceforge\jsocks\UDPRelayServer.java,net.sourceforge.jsocks.UDPRelayServer,stop/0,master_thread,1
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\net\sourceforge\jsocks\UDPRelayServer.java,net.sourceforge.jsocks.UDPRelayServer,abort/0,pipe_thread2,1
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\net\sourceforge\jsocks\UDPRelayServer.java,net.sourceforge.jsocks.UDPRelayServer,abort/0,pipe_thread1,3
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\net\sourceforge\jsocks\UDPRelayServer.java,net.sourceforge.jsocks.UDPRelayServer,abort/0,controlConnection,2
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\net\sourceforge\jsocks\UDPRelayServer.java,net.sourceforge.jsocks.UDPRelayServer,abort/0,master_thread,2
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\net\sourceforge\jsocks\UDPRelayServer.java,net.sourceforge.jsocks.UDPRelayServer,abort/0,log,1
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\net\sourceforge\jsocks\UDPRelayServer.java,net.sourceforge.jsocks.UDPRelayServer,abort/0,client_sock,1
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\net\sourceforge\jsocks\UDPRelayServer.java,net.sourceforge.jsocks.UDPRelayServer,abort/0,remote_sock,1
