file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\remote-desktop-clients-master\bVNC\src\main\java\com\iiordanov\android\bc\IBCHaptic.java,com.iiordanov.android.bc.IBCHaptic,performLongPressHaptic/1[com.iiordanov.android.bc.View],false,13,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\input\RdpKeyboardMapper.java,com.undatech.opaque.input.RdpKeyboardMapper$KeyProcessingListener,modifiersChanged/0,false,38,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1024,0,false
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\input\RdpKeyboardMapper.java,com.undatech.opaque.input.RdpKeyboardMapper$KeyProcessingListener,"processUnicodeKey/3[int,boolean,boolean]",false,36,0,2,2,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1024,0,false
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\input\RdpKeyboardMapper.java,com.undatech.opaque.input.RdpKeyboardMapper$KeyProcessingListener,switchKeyboard/1[int],false,37,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1024,0,false
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\input\RdpKeyboardMapper.java,com.undatech.opaque.input.RdpKeyboardMapper$KeyProcessingListener,"processVirtualKey/2[int,boolean]",false,35,0,5,5,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1024,0,false
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,requestUpdate/1[boolean],false,57,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1025,0,false
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,getEncoding/0,false,62,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,false
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,"writeKeyEvent/3[int,int,boolean]",false,64,0,4,4,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1025,0,false
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,"requestResolution/2[int,int]",false,58,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1025,0,false
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,isInNormalProtocol/0,false,61,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1025,0,false
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,close/0,false,70,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1025,0,false
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,setCertificateAccepted/1[boolean],false,72,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1025,0,false
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,"RfbConnectable/2[boolean,com.undatech.opaque.Handler]",true,40,2,1,0,1,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,1,0,false
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,framebufferWidth/0,false,54,0,13,13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,false
C:\remote-desktop-clients-master\remoteClientLib\src\main\java\com\undatech\opaque\RfbConnectable.java,com.undatech.opaque.RfbConnectable,setIsInNormalProtocol/1[boolean],false,60,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1025,0,false
