file,class,method,variable,usage
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\circuitbreaker\TraceReactiveCircuitBreaker.java,org.springframework.cloud.sleuth.instrument.circuitbreaker.TraceReactiveCircuitBreaker,run/1[org.springframework.cloud.sleuth.instrument.circuitbreaker.Mono<T>],delegate,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\circuitbreaker\TraceReactiveCircuitBreaker.java,org.springframework.cloud.sleuth.instrument.circuitbreaker.TraceReactiveCircuitBreaker,run/1[org.springframework.cloud.sleuth.instrument.circuitbreaker.Flux<T>],delegate,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\circuitbreaker\TraceReactiveCircuitBreaker.java,org.springframework.cloud.sleuth.instrument.circuitbreaker.TraceReactiveCircuitBreaker,runAndTraceMono/1[java.util.function.Supplier<org.springframework.cloud.sleuth.instrument.circuitbreaker.Mono<T>>],currentTraceContext,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\circuitbreaker\TraceReactiveCircuitBreaker.java,org.springframework.cloud.sleuth.instrument.circuitbreaker.TraceReactiveCircuitBreaker,runAndTraceMono/1[java.util.function.Supplier<org.springframework.cloud.sleuth.instrument.circuitbreaker.Mono<T>>],tracer,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\circuitbreaker\TraceReactiveCircuitBreaker.java,org.springframework.cloud.sleuth.instrument.circuitbreaker.TraceReactiveCircuitBreaker,"TraceReactiveCircuitBreaker/3[org.springframework.cloud.sleuth.instrument.circuitbreaker.ReactiveCircuitBreaker,org.springframework.cloud.sleuth.instrument.circuitbreaker.Tracer,org.springframework.cloud.sleuth.instrument.circuitbreaker.CurrentTraceContext]",delegate,3
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\circuitbreaker\TraceReactiveCircuitBreaker.java,org.springframework.cloud.sleuth.instrument.circuitbreaker.TraceReactiveCircuitBreaker,"TraceReactiveCircuitBreaker/3[org.springframework.cloud.sleuth.instrument.circuitbreaker.ReactiveCircuitBreaker,org.springframework.cloud.sleuth.instrument.circuitbreaker.Tracer,org.springframework.cloud.sleuth.instrument.circuitbreaker.CurrentTraceContext]",currentTraceContext,3
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\circuitbreaker\TraceReactiveCircuitBreaker.java,org.springframework.cloud.sleuth.instrument.circuitbreaker.TraceReactiveCircuitBreaker,"TraceReactiveCircuitBreaker/3[org.springframework.cloud.sleuth.instrument.circuitbreaker.ReactiveCircuitBreaker,org.springframework.cloud.sleuth.instrument.circuitbreaker.Tracer,org.springframework.cloud.sleuth.instrument.circuitbreaker.CurrentTraceContext]",tracer,3
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\circuitbreaker\TraceReactiveCircuitBreaker.java,org.springframework.cloud.sleuth.instrument.circuitbreaker.TraceReactiveCircuitBreaker,runAndTraceFlux/1[java.util.function.Supplier<org.springframework.cloud.sleuth.instrument.circuitbreaker.Flux<T>>],currentTraceContext,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\circuitbreaker\TraceReactiveCircuitBreaker.java,org.springframework.cloud.sleuth.instrument.circuitbreaker.TraceReactiveCircuitBreaker,runAndTraceFlux/1[java.util.function.Supplier<org.springframework.cloud.sleuth.instrument.circuitbreaker.Flux<T>>],tracer,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\circuitbreaker\TraceReactiveCircuitBreaker.java,org.springframework.cloud.sleuth.instrument.circuitbreaker.TraceReactiveCircuitBreaker,"run/2[org.springframework.cloud.sleuth.instrument.circuitbreaker.Mono<T>,java.util.function.Function<java.lang.Throwable,org.springframework.cloud.sleuth.instrument.circuitbreaker.Mono<T>>]",delegate,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\circuitbreaker\TraceReactiveCircuitBreaker.java,org.springframework.cloud.sleuth.instrument.circuitbreaker.TraceReactiveCircuitBreaker,"run/2[org.springframework.cloud.sleuth.instrument.circuitbreaker.Mono<T>,java.util.function.Function<java.lang.Throwable,org.springframework.cloud.sleuth.instrument.circuitbreaker.Mono<T>>]",tracer,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\circuitbreaker\TraceReactiveCircuitBreaker.java,org.springframework.cloud.sleuth.instrument.circuitbreaker.TraceReactiveCircuitBreaker,"run/2[org.springframework.cloud.sleuth.instrument.circuitbreaker.Flux<T>,java.util.function.Function<java.lang.Throwable,org.springframework.cloud.sleuth.instrument.circuitbreaker.Flux<T>>]",delegate,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\circuitbreaker\TraceReactiveCircuitBreaker.java,org.springframework.cloud.sleuth.instrument.circuitbreaker.TraceReactiveCircuitBreaker,"run/2[org.springframework.cloud.sleuth.instrument.circuitbreaker.Flux<T>,java.util.function.Function<java.lang.Throwable,org.springframework.cloud.sleuth.instrument.circuitbreaker.Flux<T>>]",tracer,1
C:\spring-cloud-sleuth-3.1.x\benchmarks\src\test\java\org\springframework\cloud\sleuth\benchmarks\jmh\webflux\MicroBenchmarkHttpTests.java,org.springframework.cloud.sleuth.benchmarks.jmh.webflux.MicroBenchmarkHttpTests$BenchmarkContext,run/0,webTestClient,1
C:\spring-cloud-sleuth-3.1.x\benchmarks\src\test\java\org\springframework\cloud\sleuth\benchmarks\jmh\webflux\MicroBenchmarkHttpTests.java,org.springframework.cloud.sleuth.benchmarks.jmh.webflux.MicroBenchmarkHttpTests$BenchmarkContext,run/0,applicationContext,2
C:\spring-cloud-sleuth-3.1.x\benchmarks\src\test\java\org\springframework\cloud\sleuth\benchmarks\jmh\webflux\MicroBenchmarkHttpTests.java,org.springframework.cloud.sleuth.benchmarks.jmh.webflux.MicroBenchmarkHttpTests$BenchmarkContext,run/0,instrumentation,1
C:\spring-cloud-sleuth-3.1.x\benchmarks\src\test\java\org\springframework\cloud\sleuth\benchmarks\jmh\webflux\MicroBenchmarkHttpTests.java,org.springframework.cloud.sleuth.benchmarks.jmh.webflux.MicroBenchmarkHttpTests$BenchmarkContext,setup/0,webTestClient,1
C:\spring-cloud-sleuth-3.1.x\benchmarks\src\test\java\org\springframework\cloud\sleuth\benchmarks\jmh\webflux\MicroBenchmarkHttpTests.java,org.springframework.cloud.sleuth.benchmarks.jmh.webflux.MicroBenchmarkHttpTests$BenchmarkContext,setup/0,applicationContext,2
C:\spring-cloud-sleuth-3.1.x\benchmarks\src\test\java\org\springframework\cloud\sleuth\benchmarks\jmh\webflux\MicroBenchmarkHttpTests.java,org.springframework.cloud.sleuth.benchmarks.jmh.webflux.MicroBenchmarkHttpTests$BenchmarkContext,runArgs/0,tracerImplementation,1
C:\spring-cloud-sleuth-3.1.x\benchmarks\src\test\java\org\springframework\cloud\sleuth\benchmarks\jmh\webflux\MicroBenchmarkHttpTests.java,org.springframework.cloud.sleuth.benchmarks.jmh.webflux.MicroBenchmarkHttpTests$BenchmarkContext,runArgs/0,instrumentation,2
C:\spring-cloud-sleuth-3.1.x\benchmarks\src\test\java\org\springframework\cloud\sleuth\benchmarks\jmh\webflux\MicroBenchmarkHttpTests.java,org.springframework.cloud.sleuth.benchmarks.jmh.webflux.MicroBenchmarkHttpTests$BenchmarkContext,clean/0,applicationContext,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-api\src\main\java\org\springframework\cloud\sleuth\docs\ImmutableAssertingSpan.java,org.springframework.cloud.sleuth.docs.ImmutableAssertingSpan,hashCode/0,delegate,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-api\src\main\java\org\springframework\cloud\sleuth\docs\ImmutableAssertingSpan.java,org.springframework.cloud.sleuth.docs.ImmutableAssertingSpan,hashCode/0,documentedSpan,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-api\src\main\java\org\springframework\cloud\sleuth\docs\ImmutableAssertingSpan.java,org.springframework.cloud.sleuth.docs.ImmutableAssertingSpan,getDocumentedSpan/0,documentedSpan,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-api\src\main\java\org\springframework\cloud\sleuth\docs\ImmutableAssertingSpan.java,org.springframework.cloud.sleuth.docs.ImmutableAssertingSpan,"ImmutableAssertingSpan/2[org.springframework.cloud.sleuth.docs.DocumentedSpan,org.springframework.cloud.sleuth.Span]",delegate,4
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-api\src\main\java\org\springframework\cloud\sleuth\docs\ImmutableAssertingSpan.java,org.springframework.cloud.sleuth.docs.ImmutableAssertingSpan,"ImmutableAssertingSpan/2[org.springframework.cloud.sleuth.docs.DocumentedSpan,org.springframework.cloud.sleuth.Span]",documentedSpan,4
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-api\src\main\java\org\springframework\cloud\sleuth\docs\ImmutableAssertingSpan.java,org.springframework.cloud.sleuth.docs.ImmutableAssertingSpan,toString/0,delegate,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-api\src\main\java\org\springframework\cloud\sleuth\docs\ImmutableAssertingSpan.java,org.springframework.cloud.sleuth.docs.ImmutableAssertingSpan,start/0,isStarted,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-api\src\main\java\org\springframework\cloud\sleuth\docs\ImmutableAssertingSpan.java,org.springframework.cloud.sleuth.docs.ImmutableAssertingSpan,isStarted/0,isStarted,2
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-api\src\main\java\org\springframework\cloud\sleuth\docs\ImmutableAssertingSpan.java,org.springframework.cloud.sleuth.docs.ImmutableAssertingSpan,getDelegate/0,delegate,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-api\src\main\java\org\springframework\cloud\sleuth\docs\ImmutableAssertingSpan.java,org.springframework.cloud.sleuth.docs.ImmutableAssertingSpan,equals/1[java.lang.Object],delegate,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-api\src\main\java\org\springframework\cloud\sleuth\docs\ImmutableAssertingSpan.java,org.springframework.cloud.sleuth.docs.ImmutableAssertingSpan,equals/1[java.lang.Object],documentedSpan,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-autoconfigure\src\main\java\org\springframework\cloud\sleuth\autoconfig\brave\BraveBaggageConfiguration.java,org.springframework.cloud.sleuth.autoconfig.brave.BraveBaggageConfiguration$BaggageTagSpanHandler,"end/3[org.springframework.cloud.sleuth.autoconfig.brave.TraceContext,org.springframework.cloud.sleuth.autoconfig.brave.MutableSpan,org.springframework.cloud.sleuth.autoconfig.brave.Cause]",fieldsToTag,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-autoconfigure\src\main\java\org\springframework\cloud\sleuth\autoconfig\brave\BraveBaggageConfiguration.java,org.springframework.cloud.sleuth.autoconfig.brave.BraveBaggageConfiguration$BaggageTagSpanHandler,BaggageTagSpanHandler/1[org.springframework.cloud.sleuth.autoconfig.brave.BaggageField[]],fieldsToTag,3
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\test\java\org\springframework\cloud\sleuth\tracer\SimpleCurrentTraceContext.java,org.springframework.cloud.sleuth.tracer.SimpleCurrentTraceContext,maybeScope/1[org.springframework.cloud.sleuth.tracer.TraceContext],traceContext,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\test\java\org\springframework\cloud\sleuth\tracer\SimpleCurrentTraceContext.java,org.springframework.cloud.sleuth.tracer.SimpleCurrentTraceContext,newScope/1[org.springframework.cloud.sleuth.tracer.TraceContext],traceContext,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\test\java\org\springframework\cloud\sleuth\tracer\SimpleCurrentTraceContext.java,org.springframework.cloud.sleuth.tracer.SimpleCurrentTraceContext,context/0,traceContext,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\reactor\ReactorHooksHelper.java,org.springframework.cloud.sleuth.instrument.reactor.ReactorHooksHelper$NamedLifter,"NamedLifter/2[java.lang.String,java.util.function.BiFunction<T,U,R>]",delegate,3
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\reactor\ReactorHooksHelper.java,org.springframework.cloud.sleuth.instrument.reactor.ReactorHooksHelper$NamedLifter,"NamedLifter/2[java.lang.String,java.util.function.BiFunction<T,U,R>]",name,3
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\reactor\ReactorHooksHelper.java,org.springframework.cloud.sleuth.instrument.reactor.ReactorHooksHelper$NamedLifter,toString/0,name,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\reactor\ReactorHooksHelper.java,org.springframework.cloud.sleuth.instrument.reactor.ReactorHooksHelper$NamedLifter,"apply/2[T,U]",delegate,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-brave\src\test\java\org\springframework\cloud\sleuth\brave\instrument\messaging\KafkaFactoryBeanPostProcessorTests.java,org.springframework.cloud.sleuth.brave.instrument.messaging.TestProducerFactory,addPostProcessor/1[org.springframework.cloud.sleuth.brave.instrument.messaging.ProducerPostProcessor],postProcessors,1
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-brave\src\test\java\org\springframework\cloud\sleuth\brave\instrument\messaging\KafkaFactoryBeanPostProcessorTests.java,org.springframework.cloud.sleuth.brave.instrument.messaging.TestProducerFactory,getPostProcessors/0,postProcessors,1
C:\spring-cloud-sleuth-3.1.x\benchmarks\src\test\java\org\springframework\cloud\sleuth\benchmarks\jmh\mvc\AsyncWithoutSleuthBenchmarksTests.java,org.springframework.cloud.sleuth.benchmarks.jmh.mvc.AsyncWithoutSleuthBenchmarksTests$BenchmarkContext,clean/0,app,1
C:\spring-cloud-sleuth-3.1.x\benchmarks\src\test\java\org\springframework\cloud\sleuth\benchmarks\jmh\mvc\AsyncWithoutSleuthBenchmarksTests.java,org.springframework.cloud.sleuth.benchmarks.jmh.mvc.AsyncWithoutSleuthBenchmarksTests$BenchmarkContext,clean/0,context,1
C:\spring-cloud-sleuth-3.1.x\benchmarks\src\test\java\org\springframework\cloud\sleuth\benchmarks\jmh\mvc\AsyncWithoutSleuthBenchmarksTests.java,org.springframework.cloud.sleuth.benchmarks.jmh.mvc.AsyncWithoutSleuthBenchmarksTests$BenchmarkContext,setup/0,app,1
