file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\circuitbreaker\TraceReactiveCircuitBreaker.java,org.springframework.cloud.sleuth.instrument.circuitbreaker.TraceReactiveCircuitBreaker,class,9,11,2,9,9,1,0,5,0,0.3809524,1.0,1.0,7,0,4,2,0,1,5,0,0,0,3,0,0,3,0,0,3,0,2,28,6,0,2,0,0,2,0,3,0,3,0,0,0,4,20,0,0
C:\spring-cloud-sleuth-3.1.x\benchmarks\src\test\java\org\springframework\cloud\sleuth\benchmarks\jmh\webflux\MicroBenchmarkHttpTests.java,org.springframework.cloud.sleuth.benchmarks.jmh.webflux.MicroBenchmarkHttpTests$BenchmarkContext,innerclass,14,14,0,14,8,1,0,29,2,0.6,0.4,0.6,5,0,2,0,2,1,5,0,0,0,4,0,0,2,0,2,0,0,2,50,2,0,1,1,0,8,1,6,1,8,1,0,1,1,47,9,0
C:\spring-cloud-sleuth-3.1.x\tests\brave\spring-cloud-sleuth-instrumentation-grpc-tests\src\test\java\org\springframework\cloud\sleuth\instrument\grpc\stubs\HelloServiceOuterClass.java,org.springframework.cloud.sleuth.instrument.grpc.stubs.HelloServiceOuterClass$Anonymous1,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,-1,0
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-api\src\main\java\org\springframework\cloud\sleuth\docs\ImmutableAssertingSpan.java,org.springframework.cloud.sleuth.docs.ImmutableAssertingSpan,class,4,7,3,4,11,1,0,7,0,0.5416667,0.5,0.5714286,8,0,7,0,0,1,8,0,0,0,3,0,0,2,0,1,2,0,5,40,9,0,3,0,0,0,0,4,0,4,1,0,0,0,26,0,0
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-autoconfigure\src\main\java\org\springframework\cloud\sleuth\autoconfig\brave\BraveBaggageConfiguration.java,org.springframework.cloud.sleuth.autoconfig.brave.BraveBaggageConfiguration$BaggageTagSpanHandler,innerclass,5,5,0,5,3,2,0,1,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,1,0,0,12,1,1,0,0,0,0,0,1,0,1,1,0,0,0,15,24,0
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-autoconfigure\src\main\java\org\springframework\cloud\sleuth\autoconfig\brave\instrument\redis\BraveRedisAutoConfiguration.java,org.springframework.cloud.sleuth.autoconfig.brave.instrument.redis.BraveRedisAutoConfiguration,class,13,13,0,13,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,2,0,16,1,0
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\test\java\org\springframework\cloud\sleuth\tracer\SimpleCurrentTraceContext.java,org.springframework.cloud.sleuth.tracer.SimpleCurrentTraceContext,class,7,14,7,7,8,1,0,0,22,0.625,0.10714286,0.10714286,8,1,8,0,0,0,8,0,0,0,1,0,1,0,0,0,0,0,0,38,8,0,0,0,0,0,0,2,0,1,1,1,0,2,23,1,0
C:\spring-cloud-sleuth-3.1.x\tests\brave\spring-cloud-sleuth-instrumentation-grpc-tests\src\test\java\org\springframework\cloud\sleuth\instrument\grpc\stubs\HelloServiceGrpc.java,org.springframework.cloud.sleuth.instrument.grpc.stubs.HelloServiceGrpc$HelloServiceImplBase,innerclass,7,7,0,7,2,1,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1033,0
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-autoconfigure\src\test\java\org\springframework\cloud\sleuth\autoconfig\brave\instrument\web\EndpointWithCyclicDependenciesTests.java,org.springframework.cloud.sleuth.autoconfig.brave.instrument.web.EndpointWithCyclicDependenciesTests$MyService,innerclass,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,8,0
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\reactor\ReactorHooksHelper.java,org.springframework.cloud.sleuth.instrument.reactor.ReactorHooksHelper$NamedLifter,innerclass,3,3,0,3,3,1,0,3,0,0.33333334,0.6666667,1.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,2,14,2,0,0,0,0,2,0,2,0,2,0,0,0,0,11,8,0
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-autoconfigure\src\main\java\org\springframework\cloud\sleuth\autoconfig\instrument\prometheus\PrometheusExemplarsAutoConfiguration.java,org.springframework.cloud.sleuth.autoconfig.instrument.prometheus.PrometheusExemplarsAutoConfiguration,class,9,10,1,9,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,23,1,0
C:\spring-cloud-sleuth-3.1.x\tests\common\src\main\java\org\springframework\cloud\sleuth\instrument\web\client\integration\sampled\WebClientTests.java,org.springframework.cloud.sleuth.instrument.web.client.integration.sampled.WebClientTests$TestConfiguration,innerclass,18,18,0,18,7,1,0,2,21,0.0,0.0,0.0,7,0,1,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,1,0,0,0,0,0,0,0,0,26,9,0
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-brave\src\test\java\org\springframework\cloud\sleuth\brave\instrument\messaging\KafkaFactoryBeanPostProcessorTests.java,org.springframework.cloud.sleuth.brave.instrument.messaging.TestProducerFactory,class,3,4,1,3,3,1,0,1,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,11,0,0
C:\spring-cloud-sleuth-3.1.x\tests\brave\spring-cloud-sleuth-instrumentation-actuator-tests\src\test\java\org\springframework\cloud\sleuth\brave\autoconfig\actuate\TraceSleuthActuatorAutoConfigurationIntegrationTests.java,org.springframework.cloud.sleuth.brave.autoconfig.actuate.TraceSleuthActuatorAutoConfigurationIntegrationTests,class,4,4,0,4,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,0
C:\spring-cloud-sleuth-3.1.x\tests\common\src\main\java\org\springframework\cloud\sleuth\instrument\async\TraceScheduledThreadPoolExecutorAnotherConstructorTests.java,org.springframework.cloud.sleuth.instrument.async.TraceScheduledThreadPoolExecutorAnotherConstructorTests$Anonymous2,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\test\java\org\springframework\cloud\sleuth\instrument\reactor\ReactorHooksHelperTests.java,org.springframework.cloud.sleuth.instrument.reactor.ReactorHooksHelperTests,class,8,8,0,8,11,3,0,23,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,23,93,0,0,0,0,0,1,8,18,0,21,0,2,2,5,50,0,0
C:\spring-cloud-sleuth-3.1.x\tests\common\src\main\java\org\springframework\cloud\sleuth\instrument\async\TraceScheduledThreadPoolExecutorAnotherConstructorTests.java,org.springframework.cloud.sleuth.instrument.async.TraceScheduledThreadPoolExecutorAnotherConstructorTests$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-autoconfigure\src\test\java\org\springframework\cloud\sleuth\autoconfig\zipkin2\ZipkinWithDisabledSleuthTests.java,org.springframework.cloud.sleuth.autoconfig.zipkin2.ZipkinWithDisabledSleuthTests,class,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10,1,0
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\r2dbc\SleuthR2dbcSpan.java,org.springframework.cloud.sleuth.instrument.r2dbc.SleuthR2dbcSpan$Tags,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,22,0,0
C:\spring-cloud-sleuth-3.1.x\tests\brave\spring-cloud-sleuth-instrumentation-mvc-tests\src\test\java\org\springframework\cloud\sleuth\brave\instrument\web\SkipEndPointsIntegrationTestsWithoutContextPathWithoutBasePath.java,org.springframework.cloud.sleuth.brave.instrument.web.SkipEndPointsIntegrationTestsWithoutContextPathWithoutBasePath,class,4,4,0,4,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,1,0
