file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\circuitbreaker\TraceReactiveCircuitBreaker.java,org.springframework.cloud.sleuth.instrument.circuitbreaker.TraceReactiveCircuitBreaker,run/1[org.springframework.cloud.sleuth.instrument.circuitbreaker.Mono<T>],false,46,3,1,0,1,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\circuitbreaker\TraceReactiveCircuitBreaker.java,org.springframework.cloud.sleuth.instrument.circuitbreaker.TraceReactiveCircuitBreaker,run/1[org.springframework.cloud.sleuth.instrument.circuitbreaker.Flux<T>],false,57,3,1,0,1,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\circuitbreaker\TraceReactiveCircuitBreaker.java,org.springframework.cloud.sleuth.instrument.circuitbreaker.TraceReactiveCircuitBreaker,runAndTraceMono/1[java.util.function.Supplier<org.springframework.cloud.sleuth.instrument.circuitbreaker.Mono<T>>],false,67,3,3,2,1,1,1,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\circuitbreaker\TraceReactiveCircuitBreaker.java,org.springframework.cloud.sleuth.instrument.circuitbreaker.TraceReactiveCircuitBreaker,"TraceReactiveCircuitBreaker/3[org.springframework.cloud.sleuth.instrument.circuitbreaker.ReactiveCircuitBreaker,org.springframework.cloud.sleuth.instrument.circuitbreaker.Tracer,org.springframework.cloud.sleuth.instrument.circuitbreaker.CurrentTraceContext]",true,39,3,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\circuitbreaker\TraceReactiveCircuitBreaker.java,org.springframework.cloud.sleuth.instrument.circuitbreaker.TraceReactiveCircuitBreaker,runAndTraceFlux/1[java.util.function.Supplier<org.springframework.cloud.sleuth.instrument.circuitbreaker.Flux<T>>],false,71,3,3,2,1,1,1,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\circuitbreaker\TraceReactiveCircuitBreaker.java,org.springframework.cloud.sleuth.instrument.circuitbreaker.TraceReactiveCircuitBreaker,"run/2[org.springframework.cloud.sleuth.instrument.circuitbreaker.Mono<T>,java.util.function.Function<java.lang.Throwable,org.springframework.cloud.sleuth.instrument.circuitbreaker.Mono<T>>]",false,51,4,1,0,1,2,2,3,1,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,6,1,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\circuitbreaker\TraceReactiveCircuitBreaker.java,org.springframework.cloud.sleuth.instrument.circuitbreaker.TraceReactiveCircuitBreaker,"run/2[org.springframework.cloud.sleuth.instrument.circuitbreaker.Flux<T>,java.util.function.Function<java.lang.Throwable,org.springframework.cloud.sleuth.instrument.circuitbreaker.Flux<T>>]",false,62,4,1,0,1,2,2,3,1,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,6,1,0,false
C:\spring-cloud-sleuth-3.1.x\benchmarks\src\test\java\org\springframework\cloud\sleuth\benchmarks\jmh\webflux\MicroBenchmarkHttpTests.java,org.springframework.cloud.sleuth.benchmarks.jmh.webflux.MicroBenchmarkHttpTests$BenchmarkContext,run/0,false,101,1,1,1,0,2,15,9,0,0,0,15,0,0,0,0,0,0,5,0,0,0,1,0,0,1,5,0,0,false
C:\spring-cloud-sleuth-3.1.x\benchmarks\src\test\java\org\springframework\cloud\sleuth\benchmarks\jmh\webflux\MicroBenchmarkHttpTests.java,org.springframework.cloud.sleuth.benchmarks.jmh.webflux.MicroBenchmarkHttpTests$BenchmarkContext,initContext/0,false,86,5,2,1,1,1,4,4,1,1,0,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,9,4,0,false
C:\spring-cloud-sleuth-3.1.x\benchmarks\src\test\java\org\springframework\cloud\sleuth\benchmarks\jmh\webflux\MicroBenchmarkHttpTests.java,org.springframework.cloud.sleuth.benchmarks.jmh.webflux.MicroBenchmarkHttpTests$BenchmarkContext,setup/0,false,81,2,1,0,1,1,3,4,0,0,0,3,1,2,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
C:\spring-cloud-sleuth-3.1.x\benchmarks\src\test\java\org\springframework\cloud\sleuth\benchmarks\jmh\webflux\MicroBenchmarkHttpTests.java,org.springframework.cloud.sleuth.benchmarks.jmh.webflux.MicroBenchmarkHttpTests$BenchmarkContext,runArgs/0,false,92,1,2,1,1,1,6,6,1,2,0,6,0,0,0,0,0,0,3,1,2,1,0,0,0,0,4,4,0,false
C:\spring-cloud-sleuth-3.1.x\benchmarks\src\test\java\org\springframework\cloud\sleuth\benchmarks\jmh\webflux\MicroBenchmarkHttpTests.java,org.springframework.cloud.sleuth.benchmarks.jmh.webflux.MicroBenchmarkHttpTests$BenchmarkContext,clean/0,false,112,2,0,0,0,3,2,11,0,1,0,2,0,0,0,1,1,0,0,0,1,0,1,0,0,0,6,1,0,false
C:\spring-cloud-sleuth-3.1.x\tests\brave\spring-cloud-sleuth-instrumentation-grpc-tests\src\test\java\org\springframework\cloud\sleuth\instrument\grpc\stubs\HelloServiceOuterClass.java,org.springframework.cloud.sleuth.instrument.grpc.stubs.HelloServiceOuterClass$Anonymous1,assignDescriptors/1[com.google.protobuf.Descriptors.FileDescriptor],false,37,2,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-api\src\main\java\org\springframework\cloud\sleuth\docs\ImmutableAssertingSpan.java,org.springframework.cloud.sleuth.docs.ImmutableAssertingSpan,hashCode/0,false,58,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-api\src\main\java\org\springframework\cloud\sleuth\docs\ImmutableAssertingSpan.java,org.springframework.cloud.sleuth.docs.ImmutableAssertingSpan,getDocumentedSpan/0,false,63,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-api\src\main\java\org\springframework\cloud\sleuth\docs\ImmutableAssertingSpan.java,org.springframework.cloud.sleuth.docs.ImmutableAssertingSpan,"ImmutableAssertingSpan/2[org.springframework.cloud.sleuth.docs.DocumentedSpan,org.springframework.cloud.sleuth.Span]",true,33,2,3,3,0,1,2,6,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-api\src\main\java\org\springframework\cloud\sleuth\docs\ImmutableAssertingSpan.java,org.springframework.cloud.sleuth.docs.ImmutableAssertingSpan,toString/0,false,53,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-api\src\main\java\org\springframework\cloud\sleuth\docs\ImmutableAssertingSpan.java,org.springframework.cloud.sleuth.docs.ImmutableAssertingSpan,start/0,false,73,1,1,1,0,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-api\src\main\java\org\springframework\cloud\sleuth\docs\ImmutableAssertingSpan.java,org.springframework.cloud.sleuth.docs.ImmutableAssertingSpan,isStarted/0,false,79,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-api\src\main\java\org\springframework\cloud\sleuth\docs\ImmutableAssertingSpan.java,org.springframework.cloud.sleuth.docs.ImmutableAssertingSpan,getDelegate/0,false,68,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-api\src\main\java\org\springframework\cloud\sleuth\docs\ImmutableAssertingSpan.java,org.springframework.cloud.sleuth.docs.ImmutableAssertingSpan,equals/1[java.lang.Object],false,41,1,0,0,0,4,2,10,3,1,1,2,0,0,0,3,0,0,0,0,1,0,1,0,0,0,12,1,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-autoconfigure\src\main\java\org\springframework\cloud\sleuth\autoconfig\brave\BraveBaggageConfiguration.java,org.springframework.cloud.sleuth.autoconfig.brave.BraveBaggageConfiguration$BaggageTagSpanHandler,"end/3[org.springframework.cloud.sleuth.autoconfig.brave.TraceContext,org.springframework.cloud.sleuth.autoconfig.brave.MutableSpan,org.springframework.cloud.sleuth.autoconfig.brave.Cause]",false,295,3,0,0,0,2,1,6,1,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,11,1,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-autoconfigure\src\main\java\org\springframework\cloud\sleuth\autoconfig\brave\BraveBaggageConfiguration.java,org.springframework.cloud.sleuth.autoconfig.brave.BraveBaggageConfiguration$BaggageTagSpanHandler,BaggageTagSpanHandler/1[org.springframework.cloud.sleuth.autoconfig.brave.BaggageField[]],true,290,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\test\java\org\springframework\cloud\sleuth\tracer\SimpleCurrentTraceContext.java,org.springframework.cloud.sleuth.tracer.SimpleCurrentTraceContext,maybeScope/1[org.springframework.cloud.sleuth.tracer.TraceContext],false,49,2,0,0,0,1,0,6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,1,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\test\java\org\springframework\cloud\sleuth\tracer\SimpleCurrentTraceContext.java,org.springframework.cloud.sleuth.tracer.SimpleCurrentTraceContext,wrap/1[java.util.concurrent.ExecutorService],false,71,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\test\java\org\springframework\cloud\sleuth\tracer\SimpleCurrentTraceContext.java,org.springframework.cloud.sleuth.tracer.SimpleCurrentTraceContext,newScope/1[org.springframework.cloud.sleuth.tracer.TraceContext],false,42,2,0,0,0,1,0,6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,1,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\test\java\org\springframework\cloud\sleuth\tracer\SimpleCurrentTraceContext.java,org.springframework.cloud.sleuth.tracer.SimpleCurrentTraceContext,context/0,false,37,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\test\java\org\springframework\cloud\sleuth\tracer\SimpleCurrentTraceContext.java,org.springframework.cloud.sleuth.tracer.SimpleCurrentTraceContext,withTracer/1[org.springframework.cloud.sleuth.tracer.SimpleTracer],false,75,3,1,0,1,1,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,9,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\test\java\org\springframework\cloud\sleuth\tracer\SimpleCurrentTraceContext.java,org.springframework.cloud.sleuth.tracer.SimpleCurrentTraceContext,wrap/1[java.lang.Runnable],false,61,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\test\java\org\springframework\cloud\sleuth\tracer\SimpleCurrentTraceContext.java,org.springframework.cloud.sleuth.tracer.SimpleCurrentTraceContext,wrap/1[java.util.concurrent.Executor],false,66,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\test\java\org\springframework\cloud\sleuth\tracer\SimpleCurrentTraceContext.java,org.springframework.cloud.sleuth.tracer.SimpleCurrentTraceContext,wrap/1[java.util.concurrent.Callable<C>],false,56,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\spring-cloud-sleuth-3.1.x\tests\brave\spring-cloud-sleuth-instrumentation-grpc-tests\src\test\java\org\springframework\cloud\sleuth\instrument\grpc\stubs\HelloServiceGrpc.java,org.springframework.cloud.sleuth.instrument.grpc.stubs.HelloServiceGrpc$HelloServiceImplBase,bindService/0,false,123,5,2,0,2,1,6,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,0,false
C:\spring-cloud-sleuth-3.1.x\tests\brave\spring-cloud-sleuth-instrumentation-grpc-tests\src\test\java\org\springframework\cloud\sleuth\instrument\grpc\stubs\HelloServiceGrpc.java,org.springframework.cloud.sleuth.instrument.grpc.stubs.HelloServiceGrpc$HelloServiceImplBase,"sayHello/2[org.springframework.cloud.sleuth.instrument.grpc.stubs.HelloRequest,io.grpc.stub.StreamObserver<HelloReply>]",false,118,1,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,true
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\reactor\ReactorHooksHelper.java,org.springframework.cloud.sleuth.instrument.reactor.ReactorHooksHelper$NamedLifter,"NamedLifter/2[java.lang.String,java.util.function.BiFunction<T,U,R>]",true,215,3,0,0,0,1,2,4,0,0,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\reactor\ReactorHooksHelper.java,org.springframework.cloud.sleuth.instrument.reactor.ReactorHooksHelper$NamedLifter,toString/0,false,226,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-instrumentation\src\main\java\org\springframework\cloud\sleuth\instrument\reactor\ReactorHooksHelper.java,org.springframework.cloud.sleuth.instrument.reactor.ReactorHooksHelper$NamedLifter,"apply/2[T,U]",false,221,3,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\spring-cloud-sleuth-3.1.x\spring-cloud-sleuth-autoconfigure\src\main\java\org\springframework\cloud\sleuth\autoconfig\instrument\prometheus\PrometheusExemplarsAutoConfiguration.java,org.springframework.cloud.sleuth.autoconfig.instrument.prometheus.PrometheusExemplarsAutoConfiguration,sleuthSpanContextSupplier/1[org.springframework.cloud.sleuth.autoconfig.instrument.prometheus.ObjectProvider<org.springframework.cloud.sleuth.Tracer>],false,47,6,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,false
C:\spring-cloud-sleuth-3.1.x\tests\common\src\main\java\org\springframework\cloud\sleuth\instrument\web\client\integration\sampled\WebClientTests.java,org.springframework.cloud.sleuth.instrument.web.client.integration.sampled.WebClientTests$TestConfiguration,"testErrorController/2[org.springframework.cloud.sleuth.instrument.web.client.integration.sampled.ErrorAttributes,org.springframework.cloud.sleuth.instrument.web.client.integration.sampled.Tracer]",false,459,4,1,0,1,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
C:\spring-cloud-sleuth-3.1.x\tests\common\src\main\java\org\springframework\cloud\sleuth\instrument\web\client\integration\sampled\WebClientTests.java,org.springframework.cloud.sleuth.instrument.web.client.integration.sampled.WebClientTests$TestConfiguration,myRestTemplateCustomizer/0,false,474,3,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\spring-cloud-sleuth-3.1.x\tests\common\src\main\java\org\springframework\cloud\sleuth\instrument\web\client\integration\sampled\WebClientTests.java,org.springframework.cloud.sleuth.instrument.web.client.integration.sampled.WebClientTests$TestConfiguration,webClientController/0,false,448,2,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
C:\spring-cloud-sleuth-3.1.x\tests\common\src\main\java\org\springframework\cloud\sleuth\instrument\web\client\integration\sampled\WebClientTests.java,org.springframework.cloud.sleuth.instrument.web.client.integration.sampled.WebClientTests$TestConfiguration,webClientBuilder/0,false,469,2,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\spring-cloud-sleuth-3.1.x\tests\common\src\main\java\org\springframework\cloud\sleuth\instrument\web\client\integration\sampled\WebClientTests.java,org.springframework.cloud.sleuth.instrument.web.client.integration.sampled.WebClientTests$TestConfiguration,fooController/0,false,443,2,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
