file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\AppManager-master\app\src\main\java\io\github\muntashirakon\AppManager\intercept\ActivityInterceptor.java,io.github.muntashirakon.AppManager.intercept.ActivityInterceptor,class,46,55,9,46,140,3,0,184,266,0.90865386,0.17857143,0.25,32,1,4,24,4,0,8,0,0,0,39,12,8,31,0,0,14,0,32,1028,34,9,67,8,7,42,19,121,9,125,4,11,5,12,270,1,0
C:\AppManager-master\app\src\main\java\io\github\muntashirakon\AppManager\dex\DexUtils.java,io.github.muntashirakon.AppManager.dex.DexUtils,class,24,28,4,24,36,1,0,39,91,0.0,0.0,0.0,14,14,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,9,153,15,4,4,10,1,6,16,33,4,32,2,0,0,0,100,17,0
C:\AppManager-master\app\src\main\java\io\github\muntashirakon\AppManager\editor\CodeEditorViewModel.java,io.github.muntashirakon.AppManager.editor.CodeEditorViewModel,class,15,17,2,15,36,2,0,35,60,0.84491974,0.31666666,0.875,17,1,15,1,1,0,16,0,0,0,11,2,1,10,0,0,7,0,6,144,17,1,13,4,0,7,3,25,4,26,4,1,0,4,89,1,0
C:\AppManager-master\app\src\main\java\io\github\muntashirakon\AppManager\backup\dialog\BackupRestoreDialogFragment.java,io.github.muntashirakon.AppManager.backup.dialog.BackupRestoreDialogFragment$BackupDialogFragmentPagerAdapter,innerclass,4,4,0,4,4,2,0,3,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0
C:\AppManager-master\app\src\main\java\io\github\muntashirakon\AppManager\ssaid\SettingsStateV31.java,io.github.muntashirakon.AppManager.ssaid.SettingsStateV31$Setting,innerclass,2,2,0,2,39,1,0,9,0,0.60714287,0.44444445,0.78431374,21,0,16,3,0,2,18,0,0,0,8,0,0,8,0,0,0,0,8,120,18,0,6,0,1,8,1,27,3,11,3,0,0,0,45,0,0
C:\AppManager-master\app\src\main\java\io\github\muntashirakon\AppManager\backup\BackupUtils.java,io.github.muntashirakon.AppManager.backup.BackupUtils,class,19,31,12,19,68,1,0,69,105,0.93333334,0.0,0.0,15,15,9,2,0,4,13,0,0,0,2,2,1,1,0,0,2,0,35,243,26,9,10,2,0,30,11,45,3,40,4,0,0,0,117,17,0
C:\AppManager-master\app\src\main\java\io\github\muntashirakon\AppManager\editor\CodeEditorFragment.java,io.github.muntashirakon.AppManager.editor.CodeEditorFragment$Options$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\AppManager-master\libcore\ui\src\main\java\io\github\muntashirakon\widget\NoFilterArrayAdapter.java,io.github.muntashirakon.widget.NoFilterArrayAdapter$Anonymous1,anonymous,2,2,0,2,2,1,0,1,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-1,0
C:\AppManager-master\app\src\main\java\io\github\muntashirakon\AppManager\compat\ApplicationInfoCompat.java,io.github.muntashirakon.AppManager.compat.ApplicationInfoCompat,class,7,14,7,7,18,1,0,5,36,0.99382716,0.0,0.0,9,9,9,0,0,0,9,0,0,0,36,36,36,0,0,0,36,0,1,81,14,0,4,0,3,1,70,36,31,36,1,0,0,0,285,17,0
C:\AppManager-master\app\src\main\java\io\github\muntashirakon\AppManager\ipc\RemoteShellImpl.java,io.github.muntashirakon.AppManager.ipc.RemoteShellImpl$Anonymous1,anonymous,1,1,0,1,4,1,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
C:\AppManager-master\app\src\main\java\io\github\muntashirakon\AppManager\logcat\LogViewerActivity.java,io.github.muntashirakon.AppManager.logcat.LogViewerActivity,class,57,64,7,57,96,3,0,185,551,0.9310778,0.06719368,0.31225297,38,1,12,15,2,9,23,0,0,0,21,6,4,17,0,0,11,0,23,443,19,3,28,2,2,14,9,69,3,85,4,0,1,19,203,1,0
