file,class,method,variable,usage
C:\AppManager-master\app\src\main\java\io\github\muntashirakon\AppManager\intercept\ActivityInterceptor.java,io.github.muntashirakon.AppManager.intercept.ActivityInterceptor,showInitialIntent/1[boolean],mOriginalIntent,1
C:\AppManager-master\app\src\main\java\io\github\muntashirakon\AppManager\intercept\ActivityInterceptor.java,io.github.muntashirakon.AppManager.intercept.ActivityInterceptor,showInitialIntent/1[boolean],mMutableIntent,1
C:\AppManager-master\app\src\main\java\io\github\muntashirakon\AppManager\intercept\ActivityInterceptor.java,io.github.muntashirakon.AppManager.intercept.ActivityInterceptor,getFlags/0,INTENT_FLAG_TO_STRING,3
C:\AppManager-master\app\src\main\java\io\github\muntashirakon\AppManager\intercept\ActivityInterceptor.java,io.github.muntashirakon.AppManager.intercept.ActivityInterceptor,getFlags/0,mMutableIntent,2
C:\AppManager-master\app\src\main\java\io\github\muntashirakon\AppManager\intercept\ActivityInterceptor.java,io.github.muntashirakon.AppManager.intercept.ActivityInterceptor,setupTextWatchers/0,mTypeView,2
C:\AppManager-master\app\src\main\java\io\github\muntashirakon\AppManager\intercept\ActivityInterceptor.java,io.github.muntashirakon.AppManager.intercept.ActivityInterceptor,setupTextWatchers/0,mClassNameView,2
C:\AppManager-master\app\src\main\java\io\github\muntashirakon\AppManager\intercept\ActivityInterceptor.java,io.github.muntashirakon.AppManager.intercept.ActivityInterceptor,setupTextWatchers/0,mActionView,2
C:\AppManager-master\app\src\main\java\io\github\muntashirakon\AppManager\intercept\ActivityInterceptor.java,io.github.muntashirakon.AppManager.intercept.ActivityInterceptor,setupTextWatchers/0,mUserIdEdit,1
C:\AppManager-master\app\src\main\java\io\github\muntashirakon\AppManager\intercept\ActivityInterceptor.java,io.github.muntashirakon.AppManager.intercept.ActivityInterceptor,setupTextWatchers/0,mDataView,2
C:\AppManager-master\app\src\main\java\io\github\muntashirakon\AppManager\intercept\ActivityInterceptor.java,io.github.muntashirakon.AppManager.intercept.ActivityInterceptor,setupTextWatchers/0,mUriView,2
